nom_compteur,Annee,Mois,Jour,jour_semaine_numero,jour_we,vac_aout,PRECIP_TOTAL_DAY_MM,TOTAL_SNOW_MM,TEMPERATURE_MEAN,jours_feries,Confinement,OPINION,sum_counts
10 boulevard Auguste Blanqui NE-SO,2023,1,18,2,0,0,0.0,0.0,3.0,0,0,0,1004.0
10 boulevard Auguste Blanqui NE-SO,2023,1,19,3,0,0,0.0,0.0,3.0,0,0,0,1437.0
10 boulevard Auguste Blanqui NE-SO,2023,1,20,4,0,0,0.0,0.0,2.5,0,0,0,986.0
10 boulevard Auguste Blanqui NE-SO,2023,1,21,5,1,0,0.0,0.0,2.5,0,0,0,684.0
10 boulevard Auguste Blanqui NE-SO,2023,1,22,6,1,0,0.0,0.0,0.75,0,0,0,484.0
10 boulevard Auguste Blanqui NE-SO,2023,1,23,0,0,0,0.0,0.0,2.0,0,0,0,921.0
10 boulevard Auguste Blanqui NE-SO,2023,1,24,1,0,0,0.0,0.0,2.0,0,0,0,1046.0
10 boulevard Auguste Blanqui NE-SO,2023,1,25,2,0,0,0.0,0.0,3.0,0,0,0,1009.0
10 boulevard Auguste Blanqui NE-SO,2023,1,26,3,0,0,1.5,0.0,2.75,0,0,0,954.0
10 boulevard Auguste Blanqui NE-SO,2023,1,27,4,0,0,0.0,0.0,3.25,0,0,0,901.0
10 boulevard Auguste Blanqui NE-SO,2023,1,28,5,1,0,0.0,0.0,2.0,0,0,0,624.0
10 boulevard Auguste Blanqui NE-SO,2023,1,29,6,1,0,0.0,0.0,2.75,0,0,0,579.0
10 boulevard Auguste Blanqui NE-SO,2023,1,30,0,0,0,0.2,0.0,6.0,0,0,0,948.0
10 boulevard Auguste Blanqui NE-SO,2023,1,31,1,0,0,0.0,0.0,4.5,0,0,0,1219.0
10 boulevard Auguste Blanqui NE-SO,2023,2,1,2,0,0,0.8,0.0,7.5,0,0,1,1182.0
10 boulevard Auguste Blanqui NE-SO,2023,2,2,3,0,0,0.0,0.0,7.0,0,0,0,1249.0
10 boulevard Auguste Blanqui NE-SO,2023,2,3,4,0,0,0.0,0.0,9.5,0,0,1,1036.0
10 boulevard Auguste Blanqui NE-SO,2023,2,4,5,1,0,0.0,0.0,7.25,0,0,2,636.0
10 boulevard Auguste Blanqui NE-SO,2023,2,5,6,1,0,0.0,0.0,6.5,0,0,1,613.0
10 boulevard Auguste Blanqui NE-SO,2023,2,6,0,0,0,0.0,0.0,4.0,0,0,0,1081.0
10 boulevard Auguste Blanqui NE-SO,2023,2,7,1,0,0,0.0,0.0,4.25,0,0,0,1330.0
10 boulevard Auguste Blanqui NE-SO,2023,2,8,2,0,0,0.0,0.0,3.25,0,0,0,1163.0
10 boulevard Auguste Blanqui NE-SO,2023,2,9,3,0,0,0.0,0.0,2.5,0,0,0,1167.0
10 boulevard Auguste Blanqui NE-SO,2023,2,10,4,0,0,0.0,0.0,5.5,0,0,0,1064.0
